name,type,lat,lon,formatted_address,website,opening_hours
Mr. Mike's Pizza,restaurant,44.2807261,-73.9815468,n/a,n/a,n/a
The Point Cafe,restaurant,42.7956775,-73.9623528,n/a,n/a,n/a
Mr Subb,fast_food,42.7150688,-73.8306225,n/a,n/a,n/a
Southside Coffee,cafe,40.6611342,-73.9902727,n/a,http://southsidecoffeenyc.com,Mo-Su 07:55-16:05
Bruegger's Bagels,fast_food,42.7278039,-73.8454576,n/a,n/a,n/a
Arby's,fast_food,41.5213584,-74.1130313,n/a,https://www.arbys.com/locations/us/ny/newburgh/239-route-17k/store-7507/,Mo-Su 07:00-02:00
Stewart Airport Diner,restaurant,41.5222822,-74.1119413,n/a,n/a,n/a
Burger King,fast_food,41.5052186,-74.0703735,n/a,https://www.bk.com/store-locator/store/restaurant_1061,06:30-22:00
Orange Hill Restaurant,restaurant,41.5053793,-74.0709743,n/a,n/a,n/a
Union Square Restaurant,restaurant,41.5050386,-74.0737295,n/a,n/a,n/a
Quiznos,fast_food,41.5255916,-74.1299571,n/a,n/a,n/a
Johnny's Pizzeria,restaurant,41.5258248,-74.1347095,n/a,n/a,n/a
GlassMarket Cafe,restaurant,42.1496754,-77.0538120,n/a,n/a,n/a
n/a,restaurant,42.1422552,-77.0492630,n/a,n/a,n/a
Red Robin,restaurant,41.6596465,-73.9309591,n/a,n/a,n/a
Dunkin' Donuts,fast_food,41.3961956,-74.3331973,n/a,https://locations.dunkindonuts.com/en/ny/goshen/400-greenwich-ave/354364,04:00-21:00
Goshen Diner,restaurant,41.3965328,-74.3326214,n/a,n/a,n/a
McDonald's,fast_food,41.4533313,-74.0577338,n/a,https://www.mcdonalds.com/us/en-us/location/2153.html,07:00-22:00
Bukhara Bistro,restaurant,41.4543663,-74.0582731,n/a,n/a,n/a
Dunkin',fast_food,41.4545336,-74.0579297,n/a,https://locations.dunkindonuts.com/en/ny/vails-gate/1002-route-94/304729,05:00-22:00
Popeyes,fast_food,41.4634103,-74.0525224,n/a,https://www.popeyes.com/store-locator/store/restaurant_84318,Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 10:00-22:00
Planet Wings,restaurant,41.4632752,-74.0513208,n/a,n/a,n/a
Starbucks,cafe,40.7032771,-74.0141339,n/a,https://www.starbucks.com/store-locator/store/16686/state-st-pearl-streets-1-battery-park-plaza-new-york-ny-100041405-us,n/a
Cafe Delecctica,cafe,40.7481687,-73.9766084,n/a,n/a,n/a
n/a,restaurant,42.7006822,-74.0333001,n/a,n/a,n/a
The Inwood Farm,restaurant,40.8727992,-73.9184210,n/a,https://www.theinwoodfarm.com/,Mo-Fr 07:00-22:30; Sa 07:00-23:00; Su 08:00-22:00
Garden Café,restaurant,40.8681188,-73.9204207,n/a,https://gardencafeny.com/,"Mo-Fr 11:00-23:00; Sa, Su 12:00-23:00"
Gimme!Coffee,cafe,42.5420589,-76.6619210,n/a,https://www.gimmecoffee.com/,07:00-18:00
Bflo Pizza Bistro,restaurant,42.9030656,-78.8882571,n/a,https://bflopizzabistro.square.site/,n/a
n/a,cafe,42.8990093,-78.8755315,n/a,n/a,n/a
Taco Bell,fast_food,40.8263281,-73.8606631,n/a,https://locations.tacobell.com/ny/bronx/1889-bruckner-blvd.html,Mo-We 08:00-02:00; Th-Sa 08:00-03:00; Su 08:00-02:00
Le Monde,restaurant,40.8057782,-73.9658657,n/a,https://lemondenyc.com/,n/a
Hancock House,restaurant,41.9542880,-75.2792554,n/a,n/a,n/a
Café au bon gout,fast_food,40.7458981,-73.9866880,n/a,n/a,n/a
Leo's Italian Restaurant & Pizzaria,restaurant,41.5240683,-74.0712056,n/a,n/a,n/a
Perkins,restaurant,41.5213601,-74.0712365,n/a,n/a,n/a
Denny's,restaurant,41.5071084,-74.0688708,n/a,n/a,n/a
LongHorn Steakhouse,restaurant,41.5058914,-74.0680051,n/a,n/a,n/a
